"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
2023-06-01,yandex,cpc,freemium,104,21654,101,25,1654810
2023-06-01,yandex,cpc,prof-frontend,78,57138,73,12,1057000
2023-06-01,yandex,cpc,prof-python,64,33026,63,7,613196
2023-06-01,yandex,cpc,base-python,31,12524,28,7,476021
2023-06-01,vk,cpc,prof-python,71,2028,40,5,355564
2023-06-01,vk,cpc,freemium-frontend,81,3160,44,5,338083
2023-06-28,organic,organic,,1481,,2,2,328174
2023-06-01,yandex,cpc,prof-java,51,29490,51,4,284590
2023-06-01,yandex,cpc,base-frontend,40,18061,39,3,268515
2023-06-21,organic,organic,,888,,1,1,268200
